season,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
winter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2561,29.4922,72.2938,103.5089,125.163,131.5987,124.5998,104.2894,72.3514,31.2683,4.9645,0.0,0.0,0.0,0.0,0.0
spring,0.0,0.0,0.0,0.0,0.0,0.0707,9.1163,39.3565,83.1772,125.6207,160.4391,186.738,206.2989,212.6109,206.8543,188.8054,158.7685,120.9641,76.737,31.0446,4.3043,0.0,0.0,0.0
summer,0.0,0.0,0.0,0.0,0.0,0.6717,22.0815,64.5978,99.3391,126.3489,149.5652,164.6946,177.4489,184.5891,184.5761,176.0826,156.187,129.813,97.8554,60.2913,18.312,0.1054,0.0,0.0
autumn,0.0,0.0,0.0,0.0,0.0,0.0,0.0176,7.6352,37.6385,76.8549,106.6297,126.9253,139.3813,141.5484,134.8582,116.8824,89.0989,53.178,20.1648,2.7593,0.0,0.0,0.0,0.0
