season,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
winter,70.6009,71.1763,71.4956,71.2406,72.7417,73.9967,73.5953,75.1308,74.7761,75.4701,75.8725,75.9534,75.3936,75.8448,74.7849,74.2428,73.7761,73.0133,72.9889,72.071,70.6984,70.7672,70.9568,70.9601
spring,55.7413,54.5554,55.6152,56.2891,57.887,59.375,61.0054,60.8207,60.7967,60.762,61.1674,63.4587,65.5272,65.7815,66.1587,66.1424,64.3022,62.1446,59.4359,56.8543,55.387,55.4641,55.9239,55.7641
summer,24.513,24.0293,24.962,26.1902,27.3728,28.6511,29.0,28.4065,27.412,28.0815,29.7065,31.8663,33.8304,36.688,39.3902,39.2609,37.8598,37.2826,35.05,31.1033,27.8565,25.762,23.7109,23.7641
autumn,44.667,45.3044,45.111,46.5538,48.1374,49.7923,51.0297,52.2044,50.5978,49.7604,49.222,50.2912,51.9692,52.8703,53.4593,52.7495,51.044,50.8626,50.0604,48.3604,47.3923,46.6495,46.6374,45.3626
