season,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
winter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8004,43.9157,125.2317,201.2417,254.4146,272.1962,252.4834,201.3548,125.2727,48.6031,6.7373,0.0,0.0,0.0,0.0,0.0
spring,0.0,0.0,0.0,0.0,0.0,0.0707,13.2087,71.1359,180.475,311.638,435.2707,528.4674,581.3163,588.338,558.2815,491.3511,390.3196,277.5902,153.4848,52.4293,5.7978,0.0,0.0,0.0
summer,0.0,0.0,0.0,0.0,0.0,0.6717,35.2076,143.638,294.4967,450.8054,590.8652,692.5837,752.5609,761.9848,721.1902,644.0717,531.0293,402.6826,261.0413,125.8196,28.3087,0.1054,0.0,0.0
autumn,0.0,0.0,0.0,0.0,0.0,0.0,0.0176,12.3484,77.9308,192.1165,309.5429,402.122,452.4275,455.8165,417.1846,340.3637,233.567,122.1154,38.6165,4.0868,0.0,0.0,0.0,0.0
