season,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
winter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9702,82.3504,209.177,321.5551,397.3901,423.0729,393.1705,319.2754,204.3981,83.607,10.7215,0.0,0.0,0.0,0.0,0.0
spring,0.0,0.0,0.0,0.0,0.0,0.023,8.1499,41.1496,154.468,308.8609,461.2105,579.0577,644.4972,652.4699,613.5747,530.5006,406.7313,270.4138,127.346,28.6782,3.8198,0.0,0.0,0.0
summer,0.0,0.0,0.0,0.0,0.0,0.5451,19.8627,62.6163,212.9766,393.6587,565.8696,696.6592,775.7974,790.3823,740.075,643.402,504.9934,349.5531,187.4072,55.2453,16.4354,0.0,0.0,0.0
autumn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.621,98.2557,265.0385,432.9982,564.5895,634.7305,639.1467,583.9394,476.235,324.4361,162.1116,41.3262,2.8148,0.0,0.0,0.0,0.0
