,GTI_W_m2,GHI_W_m2,DNI_W_m2,DHI_W_m2,temp_C,cloud_pct,wind_m_s,GTI_to_GHI_ratio,GTI_minus_GHI
GTI_W_m2,1.0,0.9355,0.8665,0.5338,0.3724,-0.3301,0.0904,0.3011,0.5169
GHI_W_m2,0.9355,1.0,0.8385,0.6184,0.5485,-0.3303,0.0701,0.0304,0.1811
DNI_W_m2,0.8665,0.8385,1.0,0.2477,0.4816,-0.6087,0.0257,0.2115,0.3803
DHI_W_m2,0.5338,0.6184,0.2477,1.0,0.2611,0.2004,0.1039,-0.0547,-0.0124
temp_C,0.3724,0.5485,0.4816,0.2611,1.0,-0.3823,-0.0401,-0.4002,-0.2926
cloud_pct,-0.3301,-0.3303,-0.6087,0.2004,-0.3823,1.0,0.0762,-0.0368,-0.1186
wind_m_s,0.0904,0.0701,0.0257,0.1039,-0.0401,0.0762,1.0,0.0707,0.082
GTI_to_GHI_ratio,0.3011,0.0304,0.2115,-0.0547,-0.4002,-0.0368,0.0707,1.0,0.7536
GTI_minus_GHI,0.5169,0.1811,0.3803,-0.0124,-0.2926,-0.1186,0.082,0.7536,1.0
