,GTI_W_m2,GHI_W_m2,DNI_W_m2,DHI_W_m2,temp_C,cloud_pct,wind_m_s,GTI_to_GHI_ratio,GTI_minus_GHI
GTI_W_m2,1.0,0.95,0.8686,0.6874,0.3698,-0.3245,0.0904,0.5068,0.4264
GHI_W_m2,0.95,1.0,0.8543,0.764,0.5401,-0.3332,0.073,0.2427,0.1517
DNI_W_m2,0.8686,0.8543,1.0,0.3702,0.4951,-0.6257,0.0213,0.3324,0.2716
DHI_W_m2,0.6874,0.764,0.3702,1.0,0.3,0.1394,0.1079,0.1411,0.0183
temp_C,0.3698,0.5401,0.4951,0.3,1.0,-0.4007,-0.0426,-0.3326,-0.3485
cloud_pct,-0.3245,-0.3332,-0.6257,0.1394,-0.4007,1.0,0.0706,-0.051,-0.0585
wind_m_s,0.0904,0.073,0.0213,0.1079,-0.0426,0.0706,1.0,0.1052,0.0965
GTI_to_GHI_ratio,0.5068,0.2427,0.3324,0.1411,-0.3326,-0.051,0.1052,1.0,0.8986
GTI_minus_GHI,0.4264,0.1517,0.2716,0.0183,-0.3485,-0.0585,0.0965,0.8986,1.0
