,mean,std,min,median,max
GTI_W_m2,183.0323,272.1891,0.0,7.0627,1014.1116
GHI_W_m2,163.8035,239.9188,0.0,7.0,952.0
DNI_W_m2,190.8254,272.4267,0.0,0.0,912.3895
DHI_W_m2,57.2238,75.1185,0.0,6.0,435.0
temp_C,13.672,9.8752,-17.0,13.25,39.5
cloud_pct,52.9921,42.2482,0.0,56.0,100.0
wind_m_s,3.4158,1.8707,0.0,3.0083,13.1609
