,count_non_null,missing_count,missing_share,mean,std,min,q01,q05,q25,median,q75,q95,q99,max,zero_count,zero_share,negative_count,negative_share
GTI_W_m2,87648.0,0,0.0,183.032292281752,272.1891188366692,0.0,0.0,0.0,0.0,7.0627418,313.65138,796.8215599999997,918.3128538999999,1014.1116,41781,0.4766908543263965,0,0.0
GHI_W_m2,87648.0,0,0.0,163.80347526469515,239.9187955640014,0.0,0.0,0.0,0.0,7.0,279.0,708.0,853.0,952.0,41295,0.4711459474260679,0,0.0
DNI_W_m2,87648.0,0,0.0,190.82537212770055,272.4266779398835,0.0,0.0,0.0,0.0,0.0,371.65947500000004,767.7767049999999,831.6965852,912.38947,45824,0.5228185469149325,0,0.0
DHI_W_m2,87648.0,0,0.0,57.2237928988682,75.11845915164031,0.0,0.0,0.0,0.0,6.0,108.0,208.0,293.0,435.0,41295,0.4711459474260679,0,0.0
temp_C,87648.0,0,0.0,13.672025050554605,9.875181231357008,-17.0,-6.85,-1.4,5.85,13.25,21.45,29.9,34.13777999999997,39.5,85,0.0009697882438846295,6439,0.07346431179262504
cloud_pct,87648.0,0,0.0,52.99208196422052,42.24816089472597,0.0,0.0,0.0,4.0,56.0,99.0,100.0,100.0,100.0,16242,0.18530941949616647,0,0.0
wind_m_s,87648.0,0,0.0,3.4158184854349787,1.8707413041431895,0.0,0.44721362,1.0111874,2.0518284,3.0083218,4.472136,7.0604534,8.969392,13.160927,21,0.0002395947426067908,0,0.0
