Scenario,TotalLoadKWh,TotalPvGenerationKWh,PvToLoadKWh,BatteryToLoadKWh,DieselToLoadKWh,FuelUsedL,FuelCostUsd,UnservedEnergyKWh,SystemDownHours,Availability,AvailabilityPct,RenewableCoveragePct,CurtailmentKWh,CurtailmentPctOfPv,AnnualOmUsd,OutageCostUsd,OperatingCostUsd
Hybrid,87648.0,51535.2982786784,30778.08385200017,10765.181287428668,46094.52414909797,13828.357244721601,69141.78622360801,10.210711473863254,12,0.9998630887185104,99.98630887185104,47.397847229176755,9320.071087929828,18.08483000822332,300.0,42.24,72184.02622364642
ColdStandby,87648.0,0.0,0.0,0.0,87648.0,26294.3999999596,131471.99999979802,0.0,0,1.0,100.0,0.0,0.0,0.0,700.0,0.0,138471.99999999997
