Metric,Mean,Std,Min,P05,Median,P95,Max
MeanAnnualNetBenefitUsd,7667.730709535507,3.0902299624384755,7651.848375060477,7661.716649699583,7670.06688199016,7670.06688199016,7670.06688199016
NPV,21922.046951727494,14.542627896193656,21847.27771329451,21893.76177886318,21933.041216694197,21933.041216694197,21933.041216694197
PI,2.461469796781833,0.0009695085264129939,2.456485180886301,2.4595841185908784,2.4622027477796133,2.4622027477796133,2.4622027477796133
IRR,0.4973483462404313,0.00010178796814047589,0.49681843815801435,0.4971514742883242,0.4974252530548251,0.4974252530548251,0.4974252530548251
SimplePaybackYears,2.004984160104714,0.000493303101370204,2.0025436669872865,2.0040001185878302,2.0053542393329744,2.0053542393329744,2.0053542393329744
DiscountedPaybackYears,2.614536669089679,0.0007648069328316252,2.610752979000255,2.61301103145996,2.615110432276418,2.615110432276418,2.615110432276418
