Month,Scenario,LoadKWh,PvGenerationKWh,PvToLoadKWh,BatteryToLoadKWh,DieselToLoadKWh,FuelUsedL,UnservedEnergyKWh,AvgSocKWh,DownHours,CurtailmentKWh,HoursBatteryFullWithPv,CurtailmentPctOfPv
1,ColdStandby,7440.0,0.0,0.0,0.0,7440.0,2231.999999999999,0.0,,0,0.0,0,0.0
2,ColdStandby,6768.0,0.0,0.0,0.0,6768.0,2030.3999999999992,0.0,,0,0.0,0,0.0
3,ColdStandby,7440.0,0.0,0.0,0.0,7440.0,2231.999999999999,0.0,,0,0.0,0,0.0
4,ColdStandby,7200.0,0.0,0.0,0.0,7200.0,2159.999999999999,0.0,,0,0.0,0,0.0
5,ColdStandby,7440.0,0.0,0.0,0.0,7440.0,2231.999999999999,0.0,,0,0.0,0,0.0
6,ColdStandby,7200.0,0.0,0.0,0.0,7200.0,2159.999999999999,0.0,,0,0.0,0,0.0
7,ColdStandby,7440.0,0.0,0.0,0.0,7440.0,2231.999999999999,0.0,,0,0.0,0,0.0
8,ColdStandby,7440.0,0.0,0.0,0.0,7440.0,2231.999999999999,0.0,,0,0.0,0,0.0
9,ColdStandby,7200.0,0.0,0.0,0.0,7200.0,2159.999999999999,0.0,,0,0.0,0,0.0
10,ColdStandby,7440.0,0.0,0.0,0.0,7440.0,2231.999999999999,0.0,,0,0.0,0,0.0
11,ColdStandby,7200.0,0.0,0.0,0.0,7200.0,2159.999999999999,0.0,,0,0.0,0,0.0
12,ColdStandby,7440.0,0.0,0.0,0.0,7440.0,2231.999999999999,0.0,,0,0.0,0,0.0
1,Hybrid,7440.0,1015.5558730910631,1005.6758451222419,9.296118315863811,6402.583547243523,1920.775064173056,22.444489318371513,1.0270453903550418,24,1.102113192374965e-14,0,1.0852314693631244e-15
2,Hybrid,6768.0,1153.0424856152865,1116.9600898788992,33.949926148366714,5617.0899839727335,1685.1269951918196,0.0,1.0404595560245384,0,1.698749647893738e-14,0,1.4732758498376157e-15
3,Hybrid,7440.0,1698.5686091789278,1627.4630571913747,66.90321386508862,5745.633728943536,1723.6901186830603,0.0,1.05666255010636,0,2.894819800536297e-14,0,1.7042701630613707e-15
4,Hybrid,7200.0,2056.9710023299367,1961.857928269809,93.4650113831741,5144.677060347017,1543.4031181041046,0.0,1.07227455561681,0,4.017055785232593e-14,0,1.952898597346517e-15
5,Hybrid,7440.0,2176.9626672263335,2109.6635992939478,63.32169301758166,5267.01470768847,1580.1044123065406,0.0,1.054617670118529,0,4.2565018350260164e-14,0,1.955247969616871e-15
6,Hybrid,7200.0,2248.2464821776425,2204.492955705782,41.16769305737354,4954.339351236844,1486.3018053710528,0.0,1.0415347103659303,0,3.568616214165432e-14,0,1.5872886902991546e-15
7,Hybrid,7440.0,2397.1896247531404,2350.4223224898747,44.00335469950682,5045.5743228106185,1513.672296843185,0.0,1.0412926624272543,0,3.905952167607141e-14,0,1.6293880664569334e-15
8,Hybrid,7440.0,2415.1474463480945,2338.690605340513,71.93824170403347,5029.371152955453,1508.8113458866355,0.0,1.0560723117214335,0,4.906047356562082e-14,0,2.031365564856273e-15
9,Hybrid,7200.0,2131.082918126942,2043.7529664288766,82.16875155270972,5074.078282018413,1522.2234846055235,0.0,1.063993868681829,0,4.488526520948777e-14,0,2.1062186190736525e-15
10,Hybrid,7440.0,1754.9969783752438,1706.8073962970373,45.34157777738443,5687.851025925578,1706.3553077776728,0.0,1.0423289367151114,0,3.175232429417085e-14,0,1.809252362563427e-15
11,Hybrid,7200.0,1214.0105400519567,1201.9548425372811,11.343205791558113,5986.701951671161,1796.0105855013476,0.0,1.0276966322817152,0,1.1651812327484468e-14,0,9.59778514524742e-16
12,Hybrid,7440.0,904.1380024588232,902.4147759848435,1.6213837893674494,6535.963840225789,1960.789152067736,0.0,1.0244251832315254,0,2.8978555666192563e-15,0,3.205103157635753e-16
