Scenario,TotalLoadKWh,TotalPvGenerationKWh,PvToLoadKWh,BatteryToLoadKWh,DieselToLoadKWh,FuelUsedL,FuelCostUsd,UnservedEnergyKWh,SystemDownHours,Availability,AvailabilityPct,RenewableCoveragePct,CurtailmentKWh,CurtailmentPctOfPv,AnnualOmUsd,OutageCostUsd,OperatingCostUsd
Hybrid,87648.0,21165.912629733746,20570.156384540696,564.5201711020086,66490.87895503911,19947.263686495902,99736.31843247951,22.444489318371513,24,0.9997261774370209,99.97261774370209,24.11313042584281,0.0,0.0,300.0,84.48,102820.79843255867
ColdStandby,87648.0,0.0,0.0,0.0,87648.0,26294.3999999596,131471.99999979802,0.0,0,1.0,100.0,0.0,0.0,0.0,700.0,0.0,138471.99999999997
