Metric,DirectionForHybrid,MeanDelta_HybridMinusCold,P05Delta,MedianDelta,P95Delta,ProbabilityHybridBetter
Availability,higher_is_better,-0.000297941767068273,-0.0008334474260678571,-0.00026811792625042186,0.0,0.0
DieselToLoadKWh,n/a,-21156.402227031806,-21195.620915409072,-21153.727791213496,-21134.67655564248,
FuelUsedL,lower_is_better,-6346.920668084975,-6358.686274598137,-6346.1183373394815,-6340.402966668189,1.0
HoursLoadFullyCovered,n/a,-26.114,-73.05,-23.5,0.0,
SystemDownHours,lower_is_better,26.114,0.0,23.5,73.04999999999995,0.0
TotalDieselEnergyKWh,lower_is_better,-21156.402227031806,-21195.620915409072,-21153.727791213496,-21134.67655564248,1.0
TotalLoadKWh,n/a,0.0,0.0,0.0,0.0,
UnservedEnergyKWh,lower_is_better,21.72567138931525,0.0,19.051235570996525,60.94435976659174,0.0
