ProjectYear,InitialInvestmentUsd,FuelCostColdUsd,FuelCostHybridUsd,AnnualOmColdUsd,AnnualOmHybridUsd,OutageCostUsd_Cold,OutageCostUsd_Hybrid,OperatingCostColdUsd,OperatingCostHybridUsd,IncrementalNetBenefitUsd,DiscountFactor,DiscountedNetBenefitUsd,CumulativeDiscountedUsd,CumulativeUndiscountedUsd
1,-15000.0,13139.999999999996,10012.115092306503,700.0,300.0,0.0,0.0,13839.999999999996,10312.115092306503,3527.884907693493,0.8620689655172414,3041.2800928392185,-11958.719907160781,-11472.115092306507
2,0.0,13139.999999999996,10111.87002322625,700.0,300.0,0.0,0.0,13839.999999999996,10411.87002322625,3428.1299767737455,0.7431629013079668,2547.6590195999897,-9411.060887560792,-8043.9851155327615
3,0.0,13139.999999999996,9962.93739202057,700.0,300.0,0.0,84.48,13839.999999999996,10347.41739202057,3492.582607979426,0.6406576735413507,2237.5498482790827,-7173.51103928171,-4551.402507553335
4,0.0,13175.999999999995,9861.45462135379,700.0,300.0,0.0,0.0,13875.999999999995,10161.45462135379,3714.545378646204,0.5522910978804748,2051.5103452993562,-5122.000693982354,-836.8571289071315
5,0.0,13139.999999999996,9853.78371882683,700.0,300.0,0.0,0.0,13839.999999999996,10153.78371882683,3686.216281173167,0.4761130154142025,1755.055549098284,-3366.94514488407,2849.3591522660354
6,0.0,13139.999999999996,10121.551889798027,700.0,300.0,0.0,0.0,13839.999999999996,10421.551889798027,3418.448110201969,0.4104422546674159,1403.0755498148633,-1963.8695950692072,6267.807262468006
7,0.0,13139.999999999996,10019.677573061737,700.0,300.0,0.0,0.0,13839.999999999996,10319.677573061737,3520.322426938259,0.35382952988570343,1245.5940293696628,-718.275565699545,9788.129689406265
8,0.0,13175.999999999995,10005.131760592341,700.0,300.0,0.0,0.0,13875.999999999995,10305.131760592341,3570.868239407653,0.30502545679802023,1089.2057158908617,370.930150191316,13358.997928813918
9,0.0,13139.999999999996,9805.892531885269,700.0,300.0,0.0,0.0,13839.999999999996,10105.892531885269,3734.1074681147275,0.2629529799982933,981.8946863746496,1352.8248365659656,17093.105396928644
10,0.0,13139.999999999996,9981.90382948735,700.0,300.0,0.0,0.0,13839.999999999996,10281.90382948735,3558.0961705126465,0.2266836034468046,806.5620613420829,2159.386897908047,20651.20156744129
