Scenario,TotalLoadKWh,TotalPvGenerationKWh,PvToLoadKWh,BatteryToLoadKWh,DieselToLoadKWh,FuelUsedL,FuelCostUsd,UnservedEnergyKWh,SystemDownHours,Availability,AvailabilityPct,RenewableCoveragePct,CurtailmentKWh,CurtailmentPctOfPv,AnnualOmUsd,OutageCostUsd,OperatingCostUsd
Hybrid,87648.0,26342.43384586175,23657.49575296214,2530.2313716094627,61444.86019416063,18433.458058233784,92167.29029116892,15.412681267173216,19,0.9997832238043082,99.97832238043081,29.878293999374318,0.0,0.0,300.0,66.88,95234.17029124155
ColdStandby,87648.0,0.0,0.0,0.0,87648.0,26294.3999999596,131471.99999979802,0.0,0,1.0,100.0,0.0,0.0,0.0,700.0,0.0,138471.99999999997
