Run,ColdFuelCostUsd,HybridFuelCostUsd,ColdOutageCostUsd,HybridOutageCostUsd,MeanAnnualNetBenefitUsd,NPV,PI,IRR,SimplePaybackYears,DiscountedPaybackYears
1,131471.99999979802,92190.40931306963,0.0,0.0,4328.15906867284,5843.017058147425,1.3895344705431616,0.25800773970428315,3.5040929058791606,5.501652056294823
2,131471.99999979802,92164.92878170795,0.0,73.92,4323.315121809008,5814.526927480726,1.387635128498715,0.2575503798011545,3.510442830941707,5.5204386102154
3,131471.99999979802,92154.44486232068,0.0,91.52,4322.603513747733,5809.881911524342,1.3873254607682894,0.25747570105102047,3.511633635667964,5.524000074948782
4,131471.99999979802,92164.12296967073,0.0,73.92,4323.395703012729,5814.917024315437,1.3876611349543624,0.2575566289352652,3.510379027922659,5.520273004459267
5,131471.99999979802,92190.40931306963,0.0,0.0,4328.15906867284,5843.017058147425,1.3895344705431616,0.25800773970428315,3.5040929058791606,5.501652056294823
6,131471.99999979802,92166.49949263473,0.0,63.36,4324.214050716329,5819.598734023566,1.3879732489349044,0.25763178141211796,3.509359834258743,5.517331087728031
7,131471.99999979802,92140.26576429923,0.0,126.72,4320.50142354988,5797.305423022268,1.3864870282014847,0.25727365344146635,3.5145863446616628,5.532513641039351
8,131471.99999979802,92147.26814715503,0.0,112.64,4321.209185264299,5801.691800093488,1.3867794533395659,0.25734415700679536,3.513506176298939,5.5293825844679505
9,131471.99999979802,92171.0034695429,0.0,52.8,4324.819653025511,5823.250534756287,1.3882167023170857,0.25769043052156637,3.5085129248993887,5.514825805823725
10,131471.99999979802,92190.40931306963,0.0,0.0,4328.15906867284,5843.017058147425,1.3895344705431616,0.25800773970428315,3.5040929058791606,5.501652056294823
11,131471.99999979802,92190.40931306963,0.0,0.0,4328.15906867284,5843.017058147425,1.3895344705431616,0.25800773970428315,3.5040929058791606,5.501652056294823
12,131471.99999979802,92158.7732871515,0.0,88.0,4322.522671264652,5809.730568391767,1.3873153712261177,0.2574733295645727,3.5115720481921873,5.523746658866949
13,131471.99999979802,92190.40931306963,0.0,0.0,4328.15906867284,5843.017058147425,1.3895344705431616,0.25800773970428315,3.5040929058791606,5.501652056294823
14,131471.99999979802,92172.65355283523,0.0,49.28,4325.00664469628,5824.395787489984,1.3882930524993324,0.2577088256915865,3.508243180662781,5.514021142997305
15,131471.99999979802,92092.32570699466,0.0,271.04,4310.863429280337,5740.806745530227,1.3827204497020151,0.2563654989377732,3.528028795709187,5.569460375522563
16,131471.99999979802,92190.40931306963,0.0,0.0,4328.15906867284,5843.017058147425,1.3895344705431616,0.25800773970428315,3.5040929058791606,5.501652056294823
17,131471.99999979802,92167.29029116892,0.0,66.88,4323.7829708629115,5817.271840621266,1.3878181227080844,0.25759445593896646,3.509824163871781,5.518637030653166
18,131471.99999979802,92190.40931306963,0.0,0.0,4328.15906867284,5843.017058147425,1.3895344705431616,0.25800773970428315,3.5040929058791606,5.501652056294823
19,131471.99999979802,92169.94018593499,0.0,56.32,4324.573981386303,5821.821209945079,1.3881214139963387,0.2576674847383466,3.508829337860746,5.515750946715842
20,131471.99999979802,92164.00981417642,0.0,84.48,4322.351018562161,5809.139609349835,1.3872759739566556,0.2574639150862179,3.5115826407571897,5.5236798843729105
21,131471.99999979802,92128.97262735773,0.0,154.88,4318.81473724403,5787.219958531409,1.3858146639020938,0.2571115847616611,3.516985396024141,5.539330538156701
22,131471.99999979802,92190.40931306963,0.0,0.0,4328.15906867284,5843.017058147425,1.3895344705431616,0.25800773970428315,3.5040929058791606,5.501652056294823
23,131471.99999979802,92165.43818688799,0.0,66.88,4323.968181291004,5818.168451721844,1.3878778967814562,0.25760881841898176,3.509677769293142,5.51825646687128
24,131471.99999979802,92130.6655946782,0.0,165.44,4317.5894405119825,5780.568192277159,1.3853712128184772,0.25700480148943544,3.5183725400735106,5.543106288691242
25,131471.99999979802,92130.04690142898,0.0,158.4,4318.355309836904,5784.755833486216,1.385650388899081,0.2570720349716271,3.517488227816912,5.540694053883708
26,131471.99999979802,92092.26796596691,0.0,242.88,4313.685203383111,5756.3872155093395,1.3837591477006228,0.2566158558167111,3.5245606835976973,5.560317558890651
27,131471.99999979802,92190.40931306963,0.0,0.0,4328.15906867284,5843.017058147425,1.3895344705431616,0.25800773970428315,3.5040929058791606,5.501652056294823
28,131471.99999979802,92190.40931306963,0.0,0.0,4328.15906867284,5843.017058147425,1.3895344705431616,0.25800773970428315,3.5040929058791606,5.501652056294823
29,131471.99999979802,92158.13031450017,0.0,95.04,4321.882968529784,5806.153704698476,1.3870769136465653,0.2574159167264265,3.5123329960569745,5.525900911455773
30,131471.99999979802,92123.71106038126,0.0,179.52,4316.876893941675,5776.158651526945,1.3850772434351297,0.25693389253244486,3.5194842609813017,5.546243558140063
31,131471.99999979802,92190.40931306963,0.0,0.0,4328.15906867284,5843.017058147425,1.3895344705431616,0.25800773970428315,3.5040929058791606,5.501652056294823
32,131471.99999979802,92190.40931306963,0.0,0.0,4328.15906867284,5843.017058147425,1.3895344705431616,0.25800773970428315,3.5040929058791606,5.501652056294823
33,131471.99999979802,92168.76796631362,0.0,56.32,4324.69120334844,5822.38868615884,1.3881592457439227,0.25767657424820045,3.5087369205242758,5.515510146747196
34,131471.99999979802,92156.78524933611,0.0,88.0,4322.721475046192,5810.692985460829,1.3873795323640552,0.2574887482261219,3.511414115216414,5.5233380009475574
35,131471.99999979802,92190.40931306963,0.0,0.0,4328.15906867284,5843.017058147425,1.3895344705431616,0.25800773970428315,3.5040929058791606,5.501652056294823
36,131471.99999979802,92190.40931306963,0.0,0.0,4328.15906867284,5843.017058147425,1.3895344705431616,0.25800773970428315,3.5040929058791606,5.501652056294823
37,131471.99999979802,92138.27234904295,0.0,147.84,4318.588765075508,5786.606055344767,1.3857737370229846,0.2571018564924123,3.516904863971543,5.538959560121844
38,131471.99999979802,92170.57105925669,0.0,56.32,4324.510894054133,5821.515801643226,1.3881010534428817,0.25766259285537985,3.508879077635103,5.515880547872931
