Metric,DirectionForHybrid,MeanDelta_HybridMinusCold,P05Delta,MedianDelta,P95Delta,ProbabilityHybridBetter
Availability,higher_is_better,-0.0002476610989412178,-0.0007301935012777871,-0.0002167761956918257,0.0,0.0
DieselToLoadKWh,n/a,-26206.242633252263,-26243.336600248585,-26204.359052929278,-26187.727124572193,
FuelUsedL,lower_is_better,-7861.872789949688,-7873.000980048563,-7861.307715852794,-7856.3181373456755,1.0
HoursLoadFullyCovered,n/a,-21.707,-64.0,-19.0,0.0,
SystemDownHours,lower_is_better,21.707,0.0,19.0,64.0,0.0
TotalDieselEnergyKWh,lower_is_better,-26206.242633252263,-26243.336600248585,-26204.359052929278,-26187.727124572193,1.0
TotalLoadKWh,n/a,0.0,0.0,0.0,0.0,
UnservedEnergyKWh,lower_is_better,18.515508680071093,0.0,16.63192835709694,55.609475676394304,0.0
