Hour,Scenario,PvGenerationKWh,PvToLoadKWh,BatteryToLoadKWh,DieselToLoadKWh,FuelUsedL,UnservedEnergyKWh,AvgSocKWh,CurtailmentKWh,HoursBatteryFullWithPvShare
0,ColdStandby,0.0,0.0,0.0,1.0,0.2999999999999999,0.0,,0.0,0.0
1,ColdStandby,0.0,0.0,0.0,1.0,0.2999999999999999,0.0,,0.0,0.0
2,ColdStandby,0.0,0.0,0.0,1.0,0.2999999999999999,0.0,,0.0,0.0
3,ColdStandby,0.0,0.0,0.0,1.0,0.2999999999999999,0.0,,0.0,0.0
4,ColdStandby,0.0,0.0,0.0,1.0,0.2999999999999999,0.0,,0.0,0.0
5,ColdStandby,0.0,0.0,0.0,1.0,0.2999999999999999,0.0,,0.0,0.0
6,ColdStandby,0.0,0.0,0.0,1.0,0.2999999999999999,0.0,,0.0,0.0
7,ColdStandby,0.0,0.0,0.0,1.0,0.2999999999999999,0.0,,0.0,0.0
8,ColdStandby,0.0,0.0,0.0,1.0,0.2999999999999999,0.0,,0.0,0.0
9,ColdStandby,0.0,0.0,0.0,1.0,0.2999999999999999,0.0,,0.0,0.0
10,ColdStandby,0.0,0.0,0.0,1.0,0.2999999999999999,0.0,,0.0,0.0
11,ColdStandby,0.0,0.0,0.0,1.0,0.2999999999999999,0.0,,0.0,0.0
12,ColdStandby,0.0,0.0,0.0,1.0,0.2999999999999999,0.0,,0.0,0.0
13,ColdStandby,0.0,0.0,0.0,1.0,0.2999999999999999,0.0,,0.0,0.0
14,ColdStandby,0.0,0.0,0.0,1.0,0.2999999999999999,0.0,,0.0,0.0
15,ColdStandby,0.0,0.0,0.0,1.0,0.2999999999999999,0.0,,0.0,0.0
16,ColdStandby,0.0,0.0,0.0,1.0,0.2999999999999999,0.0,,0.0,0.0
17,ColdStandby,0.0,0.0,0.0,1.0,0.2999999999999999,0.0,,0.0,0.0
18,ColdStandby,0.0,0.0,0.0,1.0,0.2999999999999999,0.0,,0.0,0.0
19,ColdStandby,0.0,0.0,0.0,1.0,0.2999999999999999,0.0,,0.0,0.0
20,ColdStandby,0.0,0.0,0.0,1.0,0.2999999999999999,0.0,,0.0,0.0
21,ColdStandby,0.0,0.0,0.0,1.0,0.2999999999999999,0.0,,0.0,0.0
22,ColdStandby,0.0,0.0,0.0,1.0,0.2999999999999999,0.0,,0.0,0.0
23,ColdStandby,0.0,0.0,0.0,1.0,0.2999999999999999,0.0,,0.0,0.0
0,Hybrid,0.0,0.0,0.0,0.9997261774370209,0.2999178532311061,0.0002738225629791895,1.024,0.0,0.0
1,Hybrid,0.0,0.0,0.0,0.9997261774370209,0.2999178532311061,0.0002738225629791895,1.024,0.0,0.0
2,Hybrid,0.0,0.0,0.0,0.9997261774370209,0.2999178532311061,0.0002738225629791895,1.024,0.0,0.0
3,Hybrid,0.0,0.0,0.0002738225629791895,0.9994523548740416,0.29983570646221236,0.0002738225629791895,1.0248392859159223,0.0,0.0
4,Hybrid,0.0,0.0,0.0002738225629791895,0.9994523548740416,0.29983570646221236,0.0002738225629791895,1.024556994613882,0.0,0.0
5,Hybrid,0.00024162615998877537,0.00024162615998877537,0.0002738225629791895,0.9992107287140529,0.29976321861421573,0.0002738225629791895,1.0242747033118416,0.0,0.0
6,Hybrid,0.011890514942830162,0.011890514942830162,0.000266462212486309,0.9875759985386751,0.29627279956160246,0.00026702430600833877,1.024,0.0,0.0
7,Hybrid,0.0484447050451368,0.0484447050451368,0.0,0.9513172191686861,0.28539516575060575,0.00023807578617707288,1.024,0.0,0.0
8,Hybrid,0.1975646780804296,0.1975646780804296,0.0,0.8022812679253207,0.24068438037759615,0.00015405399424960083,1.024,0.0,0.0
9,Hybrid,0.4391243609787589,0.4391243609787589,0.0,0.5608187996091024,0.1682456398827307,5.683941213852758e-05,1.024,0.0,0.0
10,Hybrid,0.6924530987310813,0.6813744344302217,0.0,0.3186255655697781,0.09558766967093342,0.0,1.0347463043718337,1.3491540783866496e-17,0.0
11,Hybrid,0.889772224607662,0.7792029423998932,5.483412171776646e-05,0.22074222347838895,0.06622266704351666,0.0,1.14194197809098,3.343917596917457e-17,0.0
12,Hybrid,1.0039007781699827,0.8149314124038488,0.0016316686448858378,0.18343691895126532,0.055031075685379585,0.0,1.323560130260536,3.735417895082869e-17,0.0
13,Hybrid,1.0228015414279923,0.8189329017781559,0.005028358748063064,0.17603873947378096,0.052811621842134275,0.0,1.5161288357228742,3.7760042255868375e-17,0.0
14,Hybrid,0.9520755951171813,0.7974860566398175,0.012873283721270765,0.18964065963891164,0.056892197891673484,0.0,1.6528092615291434,3.476006493848759e-17,0.0
15,Hybrid,0.8073721023298804,0.7425744199006706,0.03005920679459209,0.22731768012059966,0.06819530403617988,4.86931841375532e-05,1.6846741405013612,2.5828919854736477e-17,0.0
16,Hybrid,0.593077428281336,0.591753971074215,0.10048956463768267,0.3076689319452694,0.09230067958358079,8.753234283287803e-05,1.58236040467507,3.6453180820139685e-18,0.0
17,Hybrid,0.357939452173991,0.357939452173991,0.19423072219869333,0.44765993474291377,0.1342979804228741,0.00016989088440181498,1.3821225467382727,0.0,0.0
18,Hybrid,0.15198862146019718,0.15198862146019718,0.21571574142070415,0.6320852083600833,0.18962556250802495,0.00021042875901527747,1.159735184448887,0.0,0.0
19,Hybrid,0.03607541005354668,0.03607541005354668,0.12138999637451715,0.8422829323434087,0.25268487970302256,0.0002516612285273995,1.0345908582895909,0.0,0.0
20,Hybrid,0.008430613223725746,0.008430613223725746,0.010218182449795023,0.9810794674038217,0.29432384022114644,0.00027173692265754316,1.024056649578462,0.0,0.0
21,Hybrid,0.0,0.0,5.495009110814885e-05,0.9996712273459126,0.29990136820377367,0.0002738225629791895,1.024,0.0,0.0
22,Hybrid,0.0,0.0,0.0,0.9997261774370209,0.2999178532311061,0.0002738225629791895,1.024,0.0,0.0
23,Hybrid,0.0,0.0,0.0,0.9997261774370209,0.2999178532311061,0.0002738225629791895,1.024,0.0,0.0
