ProjectYear,Hours_Hybrid,LoadKWh_Hybrid,PvGenerationKWh,PvToLoadKWh,BatteryToLoadKWh,DieselToLoadKWh_Hybrid,FuelUsedL_Hybrid,UnservedEnergyKWh_Hybrid,SystemDownHours_Hybrid,Availability_Hybrid,OutageCostUsd_Hybrid,AvgSocKWh,CurtailmentKWh,HoursBatteryFullWithPv,Hours_Cold,LoadKWh_Cold,DieselToLoadKWh_Cold,UnservedEnergyKWh_Cold,SystemDownHours_Cold,Availability_Cold,OutageCostUsd_Cold,PrimaryRunHours,ReserveRunHours,FuelUsedL_Cold,FuelCostHybridUsd,FuelCostColdUsd,AnnualOmHybridUsd,AnnualOmColdUsd,OperatingCostHybridUsd,OperatingCostColdUsd,IncrementalNetBenefitUsd,DiscountFactor,DiscountedNetBenefitUsd,CumulativeDiscountedUsd,CumulativeUndiscountedUsd,CurtailmentPctOfPv
1,8760,8760.0,2595.2990572918015,2343.425194264434,240.96123772244962,6175.613568013116,1852.6840704039341,0.0,0,1.0,0.0,1.1534450606661706,6.35872647938851e-14,0,8760,8760,8760,0,0,1.0,0.0,8760,0,2627.999999999999,9263.420352019672,13139.999999999996,300.0,700.0,9563.420352019672,13839.999999999996,4276.579647980325,0.8620689655172414,3686.7065930864874,-11313.293406913512,-10723.420352019675,2.4500939348484374e-15
2,8760,8760.0,2516.6305769015466,2283.21948798236,219.61649356406264,6257.164018453576,1877.1492055360725,0.0,0,1.0,0.0,1.1435054292548144,5.836200663369984e-14,0,8760,8760,8760,0,0,1.0,0.0,8760,0,2627.999999999999,9385.746027680363,13139.999999999996,300.0,700.0,9685.746027680363,13839.999999999996,4154.253972319633,0.7431629013079668,3087.2874348392047,-8226.005972074308,-6569.166379700042,2.3190533870710027e-15
3,8760,8760.0,2612.5998183676147,2335.637332553941,260.5940029020854,6163.7686645439735,1849.1305993631913,0.0,0,1.0,0.0,1.1689093573702254,6.90937649976131e-14,0,8760,8760,8760,0,0,1.0,0.0,4950,3810,2627.999999999999,9245.652996815956,13139.999999999996,300.0,700.0,9545.652996815956,13839.999999999996,4294.347003184041,0.6406576735413507,2751.2063604391587,-5474.79961163515,-2274.8193765160013,2.644636369942939e-15
4,8784,8784.0,2754.942844169315,2453.9303777263367,283.2226296761982,6031.434311330291,1809.4302933990868,15.412681267173216,19,0.9978369763205829,66.88,1.1764688177423686,7.178632688287223e-14,0,8784,8784,8784,0,0,1.0,0.0,0,8784,2635.199999999999,9047.151466995434,13175.999999999995,300.0,700.0,9414.031466995433,13875.999999999995,4461.968533004561,0.5522910978804748,2464.305499801221,-3010.4941118339284,2187.149156488558,2.6057283560275688e-15
5,8760,8760.0,2731.50487983204,2436.1455254102675,277.90361657544526,6045.9508580142865,1813.7852574042854,0.0,0,1.0,0.0,1.1761174115345827,6.993665087155765e-14,0,8760,8760,8760,0,0,1.0,0.0,0,8760,2627.999999999999,9068.926287021426,13139.999999999996,300.0,700.0,9368.926287021426,13839.999999999996,4471.07371297857,0.4761130154142025,2128.7363876254017,-881.7577242085263,6658.2228694671285,2.56037070949176e-15
6,8760,8760.0,2508.560046895065,2276.015600662766,218.8010694599706,6265.1833298772635,1879.5549989631784,0.0,0,1.0,0.0,1.1389598707190307,6.054233720256819e-14,0,8760,8760,8760,0,0,1.0,0.0,0,8760,2627.999999999999,9397.774994815893,13139.999999999996,300.0,700.0,9697.774994815893,13839.999999999996,4142.225005184104,0.4104422546674159,1700.1441704675121,818.3864462589863,10800.447874651232,2.4134298589943505e-15
7,8760,8760.0,2593.095506040251,2353.9409324485587,225.02053829242328,6181.038529259018,1854.3115587777047,0.0,0,1.0,0.0,1.1407743232932173,6.744008563402959e-14,0,8760,8760,8760,0,0,1.0,0.0,0,8760,2627.999999999999,9271.557793888524,13139.999999999996,300.0,700.0,9571.557793888524,13839.999999999996,4268.442206111473,0.35382952988570343,1510.3008991327172,2328.6873453917033,15068.890080762707,2.6007559489011262e-15
8,8784,8784.0,2635.551803350732,2361.098465682881,258.2331454116813,6164.6683889054375,1849.4005166716306,0.0,0,1.0,0.0,1.1641915928356752,7.093907709518343e-14,0,8784,8784,8784,0,0,1.0,0.0,0,8784,2635.199999999999,9247.002583358153,13175.999999999995,300.0,700.0,9547.002583358153,13875.999999999995,4328.9974166418415,0.30502545679802023,1320.4544144886272,3649.141759880331,19397.887497404547,2.6916214283852975e-15
9,8760,8760.0,2770.5457896432304,2466.815717999515,285.77962440957174,6007.404657590913,1802.2213972772734,0.0,0,1.0,0.0,1.177015189415235,8.002935336995365e-14,0,8760,8760,8760,0,0,1.0,0.0,0,8760,2627.999999999999,9011.106986386367,13139.999999999996,300.0,700.0,9311.106986386367,13839.999999999996,4528.89301361363,0.2629529799982933,1190.885914023155,4840.027673903485,23926.78051101818,2.8885771774325814e-15
10,8760,8760.0,2623.7035233705533,2347.2671182312424,260.0990135955778,6152.6338681731795,1845.7901604519532,0.0,0,1.0,0.0,1.1648909162987968,6.857492004797017e-14,0,8760,8760,8760,0,0,1.0,0.0,2711,6049,2627.999999999999,9228.950802259766,13139.999999999996,300.0,700.0,9528.950802259766,13839.999999999996,4311.049197740231,0.2266836034468046,977.2441667802116,5817.2718406836975,28237.829708758407,2.613668786779501e-15
